id;account_id;creditor_name;creditor_account_code;description;currency;amount;execution_date
1;9578;ick;whereas;basic cot;until fallacy;18512.27;2024-01-18
2;4498;fervently inquisitively scratchy;outpace whose;wholly mockingly;bee oversee mastoid;904.24;2024-01-18
3;13573;always proud really;per;hmph and pick;yellowish shower;2735.36;2024-01-18
4;82;but;on utterly ownership;though properly;greedy;31075.94;2024-01-18
5;15156;nod common that;furthermore agony harpooner;loudly whoever gosh;via;30399.28;2024-01-18
6;18471;ah mutate;corruption impassioned yum;whoosh roof;accurate;7750.11;2024-01-17
7;2704;against minus greatly;phooey;yum sticker;ew during;27217.79;2024-01-17
8;31489;penalize tonify;loud meanwhile;rarely um;lightly meanwhile mid;30983.04;2024-01-17
9;20528;fleece elderly;yippee aw;fairly phooey or;gargantuan;9742.15;2024-01-18
10;6154;instructive load behind;arid stallion offbeat;gosh;intend lest detailed;26268.48;2024-01-17
